Time	C
08:00:00	0
08:01:00	0
08:02:00	0
08:03:00	0
08:04:00	0
08:05:00	84
08:06:00	119
08:07:00	102
08:08:00	0
08:09:00	84
08:10:00	57
08:11:00	117
08:12:00	122
08:13:00	131
08:14:00	94
08:15:00	33
08:16:00	0
08:17:00	0
08:18:00	0
08:19:00	0
08:20:00	0
08:21:00	0
08:22:00	0
08:23:00	0
08:24:00	0
08:25:00	6
08:26:00	0
08:27:00	0
08:28:00	0
08:29:00	0
08:30:00	0
08:31:00	0
08:32:00	0
08:33:00	0
08:34:00	0
08:35:00	0
08:36:00	0
08:37:00	0
08:38:00	0
08:39:00	0
08:40:00	6
08:41:00	0
08:42:00	0
08:43:00	0
08:44:00	0
08:45:00	0
08:46:00	0
08:47:00	0
08:48:00	0
08:49:00	0
08:50:00	0
08:51:00	0
08:52:00	0
08:53:00	0
08:54:00	0
08:55:00	0
08:56:00	0
08:57:00	0
08:58:00	0
08:59:00	0
09:00:00	18
09:01:00	0
09:02:00	4
09:03:00	104
09:04:00	114
09:05:00	87
09:06:00	34
09:07:00	58
09:08:00	81
09:09:00	65
09:10:00	108
09:11:00	63
09:12:00	25
09:13:00	0
09:14:00	0
09:15:00	20
09:16:00	5
09:17:00	0
09:18:00	0
09:19:00	0
09:20:00	0
09:21:00	0
09:22:00	0
09:23:00	0
09:24:00	0
09:25:00	0
09:26:00	0
09:27:00	0
09:28:00	20
09:29:00	0
09:30:00	0
09:31:00	7
09:32:00	0
09:33:00	0
09:34:00	0
09:35:00	0
09:36:00	0
09:37:00	0
09:38:00	0
09:39:00	0
09:40:00	0
09:41:00	0
09:42:00	0
09:43:00	0
09:44:00	0
09:45:00	0
09:46:00	0
09:47:00	0
09:48:00	0
09:49:00	0
09:50:00	0
09:51:00	0
09:52:00	0
09:53:00	0
09:54:00	0
09:55:00	0
09:56:00	97
09:57:00	104
09:58:00	101
09:59:00	52
10:00:00	52
10:01:00	15
10:02:00	43
10:03:00	27
10:04:00	46
10:05:00	83
10:06:00	99
10:07:00	121
10:08:00	32
10:09:00	7
10:10:00	7
10:11:00	2
10:12:00	0
10:13:00	0
10:14:00	0
10:15:00	0
10:16:00	0
10:17:00	0
10:18:00	0
10:19:00	0
10:20:00	0
10:21:00	0
10:22:00	0
10:23:00	0
10:24:00	0
10:25:00	0
10:26:00	0
10:27:00	0
10:28:00	0
10:29:00	0
10:30:00	26
10:31:00	0
10:32:00	0
10:33:00	0
10:34:00	0
10:35:00	0
10:36:00	0
10:37:00	0
10:38:00	0
10:39:00	0
10:40:00	0
10:41:00	0
10:42:00	0
10:43:00	0
10:44:00	0
10:45:00	8
10:46:00	0
10:47:00	0
10:48:00	0
10:49:00	0
10:50:00	0
10:51:00	35
10:52:00	34
10:53:00	62
10:54:00	113
10:55:00	39
10:56:00	0
10:57:00	0
10:58:00	0
10:59:00	0
11:00:00	0
11:01:00	0
11:02:00	0
11:03:00	0
11:04:00	0
11:05:00	0
11:06:00	25
11:07:00	39
11:08:00	23
11:09:00	87
11:10:00	82
11:11:00	13
11:12:00	0
11:13:00	0
11:14:00	0
11:15:00	0
11:16:00	0
11:17:00	0
11:18:00	12
11:19:00	0
11:20:00	0
11:21:00	0
11:22:00	17
11:23:00	4
11:24:00	0
11:25:00	0
11:26:00	0
11:27:00	0
11:28:00	0
11:29:00	0
11:30:00	0
11:31:00	0
11:32:00	0
11:33:00	0
11:34:00	0
11:35:00	0
11:36:00	0
11:37:00	0
11:38:00	0
11:39:00	0
11:40:00	0
11:41:00	0
11:42:00	0
11:43:00	0
11:44:00	0
11:45:00	26
11:46:00	0
11:47:00	14
11:48:00	30
11:49:00	80
11:50:00	86
11:51:00	91
11:52:00	71
11:53:00	89
11:54:00	92
11:55:00	62
11:56:00	89
11:57:00	76
11:58:00	84
